task	method	dc	embed_dim	metric	mean	std	n_seeds
classification	cov_pca	8	64	accuracy	0.6609	0.0042	3
classification	cov_pca	16	256	accuracy	0.7469	0.0037	3
classification	cov_pca	24	576	accuracy	0.7732	0.0028	3
classification	cov_pca	32	1024	accuracy	0.7906	0.0025	3
classification	cov_pca	48	2304	accuracy	0.8076	0.0006	3
classification	cov_supervised	8	64	accuracy	0.8404	0.0040	3
classification	cov_supervised	16	256	accuracy	0.8417	0.0015	3
classification	cov_supervised	24	576	accuracy	0.8427	0.0020	3
classification	cov_supervised	32	1024	accuracy	0.8449	0.0023	3
classification	cov_supervised	48	2304	accuracy	0.8462	0.0018	3
classification	cov_unsupervised	8	64	accuracy	0.6595	0.0043	3
classification	cov_unsupervised	16	256	accuracy	0.7606	0.0021	3
classification	cov_unsupervised	24	576	accuracy	0.7992	0.0028	3
classification	cov_unsupervised	32	1024	accuracy	0.8115	0.0020	3
classification	cov_unsupervised	48	2304	accuracy	0.8206	0.0010	3
classification	hybrid	8	1088	accuracy	0.8439	0.0012	3
classification	hybrid	16	1280	accuracy	0.8455	0.0021	3
classification	hybrid	24	1600	accuracy	0.8480	0.0039	3
classification	hybrid	32	2048	accuracy	0.8477	0.0026	3
classification	hybrid	48	3328	accuracy	0.8490	0.0031	3
classification	light_attention	None	2048	accuracy	0.8566	0.0027	3
classification	mean	None	1024	accuracy	0.8303	0.0014	3
regression	cov_pca	8	64	spearman_r	0.5381	0.0020	3
regression	cov_pca	16	256	spearman_r	0.6304	0.0063	3
regression	cov_pca	24	576	spearman_r	0.6567	0.0045	3
regression	cov_pca	32	1024	spearman_r	0.6551	0.0019	3
regression	cov_pca	48	2304	spearman_r	0.6644	0.0056	3
regression	cov_supervised	8	64	spearman_r	0.6995	0.0034	3
regression	cov_supervised	16	256	spearman_r	0.7046	0.0057	3
regression	cov_supervised	24	576	spearman_r	0.7079	0.0014	3
regression	cov_supervised	32	1024	spearman_r	0.7031	0.0042	3
regression	cov_supervised	48	2304	spearman_r	0.7034	0.0031	3
regression	cov_unsupervised	8	64	spearman_r	0.5380	0.0050	3
regression	cov_unsupervised	16	256	spearman_r	0.6310	0.0048	3
regression	cov_unsupervised	24	576	spearman_r	0.6546	0.0035	3
regression	cov_unsupervised	32	1024	spearman_r	0.6707	0.0024	3
regression	cov_unsupervised	48	2304	spearman_r	0.6885	0.0040	3
regression	hybrid	8	1088	spearman_r	0.7139	0.0020	3
regression	hybrid	16	1280	spearman_r	0.7079	0.0012	3
regression	hybrid	24	1600	spearman_r	0.7111	0.0019	3
regression	hybrid	32	2048	spearman_r	0.7067	0.0040	3
regression	hybrid	48	3328	spearman_r	0.7100	0.0061	3
regression	mean	None	1024	spearman_r	0.6957	0.0081	3
